graphId,algo,vertices,edges,totalCost,ops,timeMs
1,Prim,6,10,33,21,2.061
1,Kruskal,6,10,33,6,2.765
2,Prim,6,11,39,26,0.144
2,Kruskal,6,11,39,8,0.133
3,Prim,5,7,17,15,0.073
3,Kruskal,5,7,17,5,0.118
4,Prim,5,5,22,12,0.08
4,Kruskal,5,5,22,4,0.084
5,Prim,4,5,23,10,0.071
5,Kruskal,4,5,23,3,0.046
6,Prim,15,42,46,107,0.321
6,Kruskal,15,42,46,25,0.253
7,Prim,13,34,80,84,0.279
7,Kruskal,13,34,80,20,0.321
8,Prim,10,23,51,54,0.184
8,Kruskal,10,23,51,15,0.149
9,Prim,11,25,26,57,0.155
9,Kruskal,11,25,26,12,0.124
10,Prim,14,34,85,82,0.162
10,Kruskal,14,34,85,19,0.171
11,Prim,13,38,48,84,0.287
11,Kruskal,13,38,48,13,0.223
12,Prim,14,41,41,93,0.231
12,Kruskal,14,41,41,23,0.174
13,Prim,15,49,54,118,0.31
13,Kruskal,15,49,54,23,0.189
14,Prim,14,44,51,100,0.2
14,Kruskal,14,44,51,17,0.211
15,Prim,13,36,57,81,0.207
15,Kruskal,13,36,57,15,0.141
16,Prim,27,117,76,268,0.435
16,Kruskal,27,117,76,43,0.337
17,Prim,29,125,70,290,0.495
17,Kruskal,29,125,70,51,0.404
18,Prim,22,63,97,145,0.293
18,Kruskal,22,63,97,30,0.229
19,Prim,28,103,117,240,0.53
19,Kruskal,28,103,117,42,0.316
20,Prim,23,81,68,183,0.335
20,Kruskal,23,81,68,27,0.23
21,Prim,25,87,111,207,0.325
21,Kruskal,25,87,111,39,0.272
22,Prim,28,103,137,244,0.399
22,Kruskal,28,103,137,49,0.309
23,Prim,30,110,110,281,0.363
23,Kruskal,30,110,110,68,0.382
24,Prim,28,129,67,295,0.304
24,Kruskal,28,129,67,49,0.611
25,Prim,23,76,97,190,0.22
25,Kruskal,23,76,97,45,0.207
26,Prim,47,202,138,468,0.47
26,Kruskal,47,202,138,69,0.574
27,Prim,49,218,137,524,0.443
27,Kruskal,49,218,137,98,0.523
28,Prim,49,196,150,519,0.598
28,Kruskal,49,196,150,132,0.567
29,Prim,57,302,140,756,0.74
29,Kruskal,57,302,140,170,0.809
30,Prim,60,334,145,820,1.011
30,Kruskal,60,334,145,158,0.754
